Level,DepthID,VIEW_TIME,SubjID
1,2.0,1.23833847,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1.8106848,271128a1bc0c48f5b44eb428989c7d17
1,2.0,0.9138212,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1.743013,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1.23526537,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1.3061167,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1.42147219,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1.11690032,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1.50610578,271128a1bc0c48f5b44eb428989c7d17
1,2.0,0.8631412,271128a1bc0c48f5b44eb428989c7d17
1,2.0,0.981494367,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1.43841314,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1.45530987,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1.03226817,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1.08303988,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1.11680007,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1.0999887,271128a1bc0c48f5b44eb428989c7d17
1,1.0,3.062965,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1.99684274,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1.18456674,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1.116919,271128a1bc0c48f5b44eb428989c7d17
1,1.0,2.369154,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1.53995883,271128a1bc0c48f5b44eb428989c7d17
1,1.0,2.25070763,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1.28610229,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1.09996033,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1.26918542,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1.28605831,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1.11692452,271128a1bc0c48f5b44eb428989c7d17
1,2.0,2.75835752,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1.6732254,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1.33690584,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1.16770017,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1.09995663,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1.607636,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1.79375386,271128a1bc0c48f5b44eb428989c7d17
2,1.0,2.21684027,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1.79376268,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1.82760775,271128a1bc0c48f5b44eb428989c7d17
2,1.0,2.11534715,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1.74295819,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1.25227022,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1.20149851,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1.13378513,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1.464041,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1.04918349,271128a1bc0c48f5b44eb428989c7d17
2,1.0,0.9138102,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1.21842921,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1.11686838,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1.81349838,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1.28610229,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1.16761863,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1.28610229,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1.506109,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1.11691833,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1.68600357,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1.25224626,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1.20153725,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1.21846282,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1.06610131,271128a1bc0c48f5b44eb428989c7d17
3,3.0,1.77183616,271128a1bc0c48f5b44eb428989c7d17
3,3.0,1.97480822,271128a1bc0c48f5b44eb428989c7d17
3,2.0,1.38762164,271128a1bc0c48f5b44eb428989c7d17
3,3.0,1.54302776,271128a1bc0c48f5b44eb428989c7d17
3,3.0,0.9645794,271128a1bc0c48f5b44eb428989c7d17
3,2.0,1.08304071,271128a1bc0c48f5b44eb428989c7d17
3,3.0,1.47540045,271128a1bc0c48f5b44eb428989c7d17
3,2.0,2.555276,271128a1bc0c48f5b44eb428989c7d17
3,3.0,0.947577238,271128a1bc0c48f5b44eb428989c7d17
3,3.0,2.37262464,271128a1bc0c48f5b44eb428989c7d17
3,1.0,1.35378671,271128a1bc0c48f5b44eb428989c7d17
3,2.0,1.269174,271128a1bc0c48f5b44eb428989c7d17
3,1.0,1.5906688,271128a1bc0c48f5b44eb428989c7d17
3,1.0,1.25226748,271128a1bc0c48f5b44eb428989c7d17
3,1.0,1.47225881,271128a1bc0c48f5b44eb428989c7d17
3,2.0,1.97991168,271128a1bc0c48f5b44eb428989c7d17
3,3.0,1.15383112,271128a1bc0c48f5b44eb428989c7d17
3,1.0,0.998415232,271128a1bc0c48f5b44eb428989c7d17
3,3.0,1.3876251,271128a1bc0c48f5b44eb428989c7d17
3,2.0,1.48916161,271128a1bc0c48f5b44eb428989c7d17
3,1.0,1.15075755,271128a1bc0c48f5b44eb428989c7d17
3,1.0,2.1152873,271128a1bc0c48f5b44eb428989c7d17
3,1.0,1.2184469999999998,271128a1bc0c48f5b44eb428989c7d17
3,2.0,1.083039,271128a1bc0c48f5b44eb428989c7d17
3,3.0,2.04764318,271128a1bc0c48f5b44eb428989c7d17
3,1.0,1.4584533000000002,271128a1bc0c48f5b44eb428989c7d17
3,2.0,1.25225866,271128a1bc0c48f5b44eb428989c7d17
3,3.0,1.13380957,271128a1bc0c48f5b44eb428989c7d17
3,3.0,0.98151195,271128a1bc0c48f5b44eb428989c7d17
3,2.0,1.50614536,271128a1bc0c48f5b44eb428989c7d17
1,1.0,4.650193,3c7b1fce66c1f8602ada814962e7a843
1,3.0,5.229778,3c7b1fce66c1f8602ada814962e7a843
1,1.0,9.293702,3c7b1fce66c1f8602ada814962e7a843
1,2.0,2.831411,3c7b1fce66c1f8602ada814962e7a843
1,2.0,9.127142999999998,3c7b1fce66c1f8602ada814962e7a843
1,1.0,4.92997265,3c7b1fce66c1f8602ada814962e7a843
1,2.0,5.72944,3c7b1fce66c1f8602ada814962e7a843
1,3.0,9.643455,3c7b1fce66c1f8602ada814962e7a843
1,1.0,4.39699125,3c7b1fce66c1f8602ada814962e7a843
1,1.0,3.331084,3c7b1fce66c1f8602ada814962e7a843
1,2.0,6.578842,3c7b1fce66c1f8602ada814962e7a843
1,1.0,3.13120365,3c7b1fce66c1f8602ada814962e7a843
1,1.0,2.6148665,3c7b1fce66c1f8602ada814962e7a843
1,3.0,4.113892,3c7b1fce66c1f8602ada814962e7a843
1,2.0,2.048629,3c7b1fce66c1f8602ada814962e7a843
1,1.0,2.898022,3c7b1fce66c1f8602ada814962e7a843
1,3.0,6.92865658,3c7b1fce66c1f8602ada814962e7a843
1,2.0,3.21446681,3c7b1fce66c1f8602ada814962e7a843
1,2.0,2.63154531,3c7b1fce66c1f8602ada814962e7a843
1,3.0,3.31442571,3c7b1fce66c1f8602ada814962e7a843
1,3.0,5.846002,3c7b1fce66c1f8602ada814962e7a843
1,1.0,3.79717445,3c7b1fce66c1f8602ada814962e7a843
1,3.0,6.29576731,3c7b1fce66c1f8602ada814962e7a843
1,2.0,4.67945957,3c7b1fce66c1f8602ada814962e7a843
1,2.0,1.282406,3c7b1fce66c1f8602ada814962e7a843
1,1.0,7.478181,3c7b1fce66c1f8602ada814962e7a843
1,2.0,3.49765635,3c7b1fce66c1f8602ada814962e7a843
1,3.0,2.96424675,3c7b1fce66c1f8602ada814962e7a843
1,3.0,1.88219488,3c7b1fce66c1f8602ada814962e7a843
1,3.0,3.8973546,3c7b1fce66c1f8602ada814962e7a843
2,2.0,3.83413577,3c7b1fce66c1f8602ada814962e7a843
2,2.0,3.58089781,3c7b1fce66c1f8602ada814962e7a843
2,3.0,2.93133283,3c7b1fce66c1f8602ada814962e7a843
2,2.0,2.74812055,3c7b1fce66c1f8602ada814962e7a843
2,1.0,3.331059,3c7b1fce66c1f8602ada814962e7a843
2,3.0,5.362986,3c7b1fce66c1f8602ada814962e7a843
2,3.0,1.71547949,3c7b1fce66c1f8602ada814962e7a843
2,1.0,2.91466832,3c7b1fce66c1f8602ada814962e7a843
2,3.0,3.51426959,3c7b1fce66c1f8602ada814962e7a843
2,1.0,3.13110352,3c7b1fce66c1f8602ada814962e7a843
2,2.0,4.29707527,3c7b1fce66c1f8602ada814962e7a843
2,2.0,3.414253,3c7b1fce66c1f8602ada814962e7a843
2,1.0,5.362983,3c7b1fce66c1f8602ada814962e7a843
2,1.0,1.68217039,3c7b1fce66c1f8602ada814962e7a843
2,1.0,4.14715147,3c7b1fce66c1f8602ada814962e7a843
2,1.0,4.513496400000001,3c7b1fce66c1f8602ada814962e7a843
2,1.0,12.5081882,3c7b1fce66c1f8602ada814962e7a843
2,3.0,6.6954020000000005,3c7b1fce66c1f8602ada814962e7a843
2,1.0,1.51555562,3c7b1fce66c1f8602ada814962e7a843
2,3.0,2.76475,3c7b1fce66c1f8602ada814962e7a843
2,2.0,1.88215935,3c7b1fce66c1f8602ada814962e7a843
2,3.0,5.24699163,3c7b1fce66c1f8602ada814962e7a843
2,1.0,4.0476160000000005,3c7b1fce66c1f8602ada814962e7a843
2,3.0,3.46497965,3c7b1fce66c1f8602ada814962e7a843
2,2.0,2.7473433,3c7b1fce66c1f8602ada814962e7a843
2,1.0,4.26389,3c7b1fce66c1f8602ada814962e7a843
2,1.0,2.71490264,3c7b1fce66c1f8602ada814962e7a843
2,3.0,6.745467,3c7b1fce66c1f8602ada814962e7a843
2,1.0,3.930666,3c7b1fce66c1f8602ada814962e7a843
3,1.0,3.21453667,3c7b1fce66c1f8602ada814962e7a843
3,3.0,1.4323498,3c7b1fce66c1f8602ada814962e7a843
3,3.0,3.26445127,3c7b1fce66c1f8602ada814962e7a843
3,3.0,4.097131,3c7b1fce66c1f8602ada814962e7a843
3,3.0,1.21583486,3c7b1fce66c1f8602ada814962e7a843
3,3.0,4.73012924,3c7b1fce66c1f8602ada814962e7a843
3,1.0,2.03193259,3c7b1fce66c1f8602ada814962e7a843
3,1.0,1.18251467,3c7b1fce66c1f8602ada814962e7a843
3,3.0,2.48162651,3c7b1fce66c1f8602ada814962e7a843
3,2.0,5.146485,3c7b1fce66c1f8602ada814962e7a843
3,2.0,3.29776025,3c7b1fce66c1f8602ada814962e7a843
3,1.0,2.01530051,3c7b1fce66c1f8602ada814962e7a843
3,3.0,1.54895627,3c7b1fce66c1f8602ada814962e7a843
3,2.0,3.81373072,3c7b1fce66c1f8602ada814962e7a843
3,1.0,1.71559644,3c7b1fce66c1f8602ada814962e7a843
3,3.0,4.763223,3c7b1fce66c1f8602ada814962e7a843
3,3.0,4.047242,3c7b1fce66c1f8602ada814962e7a843
3,2.0,1.54914534,3c7b1fce66c1f8602ada814962e7a843
3,3.0,1.48194432,3c7b1fce66c1f8602ada814962e7a843
3,3.0,1.69878745,3c7b1fce66c1f8602ada814962e7a843
3,1.0,1.79875863,3c7b1fce66c1f8602ada814962e7a843
3,1.0,1.33202612,3c7b1fce66c1f8602ada814962e7a843
3,2.0,1.83209419,3c7b1fce66c1f8602ada814962e7a843
3,2.0,6.562202,3c7b1fce66c1f8602ada814962e7a843
3,2.0,4.86318541,3c7b1fce66c1f8602ada814962e7a843
3,2.0,3.28111053,3c7b1fce66c1f8602ada814962e7a843
3,1.0,4.89662933,3c7b1fce66c1f8602ada814962e7a843
3,3.0,2.59820485,3c7b1fce66c1f8602ada814962e7a843
3,1.0,4.64678955,3c7b1fce66c1f8602ada814962e7a843
1,2.0,5.780864,20daf15f4220ea0d3cb7963075bad3ba
1,2.0,5.894635,20daf15f4220ea0d3cb7963075bad3ba
1,1.0,6.364271,20daf15f4220ea0d3cb7963075bad3ba
1,1.0,3.824581,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,4.5594945,20daf15f4220ea0d3cb7963075bad3ba
1,2.0,6.263952,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,5.444573999999999,20daf15f4220ea0d3cb7963075bad3ba
1,1.0,8.335264,20daf15f4220ea0d3cb7963075bad3ba
1,2.0,3.67501616,20daf15f4220ea0d3cb7963075bad3ba
1,1.0,2.305031,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,6.4143930000000005,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,5.41263247,20daf15f4220ea0d3cb7963075bad3ba
1,1.0,8.785386,20daf15f4220ea0d3cb7963075bad3ba
1,2.0,4.912313,20daf15f4220ea0d3cb7963075bad3ba
1,2.0,4.54415274,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,4.543551,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,3.40812421,20daf15f4220ea0d3cb7963075bad3ba
1,1.0,3.60820079,20daf15f4220ea0d3cb7963075bad3ba
1,1.0,3.99312687,20daf15f4220ea0d3cb7963075bad3ba
1,1.0,5.89586258,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,6.36467743,20daf15f4220ea0d3cb7963075bad3ba
1,2.0,4.97900438,20daf15f4220ea0d3cb7963075bad3ba
1,2.0,4.75985956,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,8.765599,20daf15f4220ea0d3cb7963075bad3ba
1,1.0,3.22349119,20daf15f4220ea0d3cb7963075bad3ba
1,1.0,6.279389,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,5.50985765,20daf15f4220ea0d3cb7963075bad3ba
1,2.0,2.1369803,20daf15f4220ea0d3cb7963075bad3ba
1,3.0,3.840368,20daf15f4220ea0d3cb7963075bad3ba
2,3.0,10.185935,20daf15f4220ea0d3cb7963075bad3ba
2,2.0,2.354299,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,6.362663,20daf15f4220ea0d3cb7963075bad3ba
2,3.0,6.41214657,20daf15f4220ea0d3cb7963075bad3ba
2,3.0,12.5558043,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,9.521368,20daf15f4220ea0d3cb7963075bad3ba
2,2.0,6.4632535,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,6.19822359,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,7.11348772,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,15.2629156,20daf15f4220ea0d3cb7963075bad3ba
2,3.0,11.6723261,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,4.97762728,20daf15f4220ea0d3cb7963075bad3ba
2,2.0,8.067160000000001,20daf15f4220ea0d3cb7963075bad3ba
2,3.0,10.776166,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,5.60854673,20daf15f4220ea0d3cb7963075bad3ba
2,3.0,5.959454,20daf15f4220ea0d3cb7963075bad3ba
2,2.0,6.012389,20daf15f4220ea0d3cb7963075bad3ba
2,3.0,13.4111805,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,5.295474,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,9.6668,20daf15f4220ea0d3cb7963075bad3ba
2,2.0,2.95540476,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,9.235885,20daf15f4220ea0d3cb7963075bad3ba
2,3.0,2.98887253,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,3.39022756,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,6.74691868,20daf15f4220ea0d3cb7963075bad3ba
2,2.0,14.3752365,20daf15f4220ea0d3cb7963075bad3ba
2,1.0,21.3876572,20daf15f4220ea0d3cb7963075bad3ba
2,2.0,2.90397859,20daf15f4220ea0d3cb7963075bad3ba
2,3.0,6.89132357,20daf15f4220ea0d3cb7963075bad3ba
3,2.0,11.757468199999998,20daf15f4220ea0d3cb7963075bad3ba
3,2.0,5.32446957,20daf15f4220ea0d3cb7963075bad3ba
3,2.0,4.7738595,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,12.6936569,20daf15f4220ea0d3cb7963075bad3ba
3,2.0,9.722576,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,16.0118027,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,12.0742846,20daf15f4220ea0d3cb7963075bad3ba
3,2.0,7.63420439,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,3.59231687,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,4.17808247,20daf15f4220ea0d3cb7963075bad3ba
3,1.0,6.34660769,20daf15f4220ea0d3cb7963075bad3ba
3,1.0,11.9579868,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,18.8275089,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,3.85911083,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,5.56132746,20daf15f4220ea0d3cb7963075bad3ba
3,2.0,8.737047,20daf15f4220ea0d3cb7963075bad3ba
3,1.0,8.101341,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,5.15970373,20daf15f4220ea0d3cb7963075bad3ba
3,1.0,6.82671928,20daf15f4220ea0d3cb7963075bad3ba
3,1.0,6.29563236,20daf15f4220ea0d3cb7963075bad3ba
3,1.0,11.8079948,20daf15f4220ea0d3cb7963075bad3ba
3,2.0,3.24048138,20daf15f4220ea0d3cb7963075bad3ba
3,3.0,8.050024,20daf15f4220ea0d3cb7963075bad3ba
3,2.0,5.4795690000000015,20daf15f4220ea0d3cb7963075bad3ba
3,1.0,9.572054,20daf15f4220ea0d3cb7963075bad3ba
3,2.0,5.24484253,20daf15f4220ea0d3cb7963075bad3ba
