Level,DepthID,SUCCESSFUL,SubjID
1,2.0,1,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1,271128a1bc0c48f5b44eb428989c7d17
1,3.0,1,271128a1bc0c48f5b44eb428989c7d17
1,1.0,1,271128a1bc0c48f5b44eb428989c7d17
1,2.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1,271128a1bc0c48f5b44eb428989c7d17
2,2.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,3.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
2,1.0,1,271128a1bc0c48f5b44eb428989c7d17
3,3.0,1,271128a1bc0c48f5b44eb428989c7d17
3,3.0,1,271128a1bc0c48f5b44eb428989c7d17
3,2.0,1,271128a1bc0c48f5b44eb428989c7d17
