Level,DepthID,TOTAL_TIME,SubjID
1,2.0,6.55209637,271128a1bc0c48f5b44eb428989c7d17
1,2.0,3.90910172,271128a1bc0c48f5b44eb428989c7d17
1,2.0,2.85989451,271128a1bc0c48f5b44eb428989c7d17
1,1.0,6.295192,271128a1bc0c48f5b44eb428989c7d17
1,1.0,9.036601,271128a1bc0c48f5b44eb428989c7d17
1,2.0,3.26910734,271128a1bc0c48f5b44eb428989c7d17
1,3.0,4.873694,271128a1bc0c48f5b44eb428989c7d17
1,3.0,3.079882,271128a1bc0c48f5b44eb428989c7d17
1,1.0,2.92760015,271128a1bc0c48f5b44eb428989c7d17
1,2.0,5.2459690000000005,271128a1bc0c48f5b44eb428989c7d17
1,2.0,4.61985254,271128a1bc0c48f5b44eb428989c7d17
1,3.0,8.528993,271128a1bc0c48f5b44eb428989c7d17
1,1.0,3.31679583,271128a1bc0c48f5b44eb428989c7d17
1,3.0,2.91066456,271128a1bc0c48f5b44eb428989c7d17
1,2.0,3.33374214,271128a1bc0c48f5b44eb428989c7d17
1,2.0,3.89216352,271128a1bc0c48f5b44eb428989c7d17
1,3.0,3.58758736,271128a1bc0c48f5b44eb428989c7d17
1,1.0,5.905929,271128a1bc0c48f5b44eb428989c7d17
1,3.0,4.6198287,271128a1bc0c48f5b44eb428989c7d17
1,3.0,5.6859720000000005,271128a1bc0c48f5b44eb428989c7d17
1,3.0,4.552158,271128a1bc0c48f5b44eb428989c7d17
1,1.0,6.345947,271128a1bc0c48f5b44eb428989c7d17
1,1.0,3.84139919,271128a1bc0c48f5b44eb428989c7d17
1,1.0,5.6352067,271128a1bc0c48f5b44eb428989c7d17
1,3.0,10.1366138,271128a1bc0c48f5b44eb428989c7d17
1,1.0,2.1152997000000004,271128a1bc0c48f5b44eb428989c7d17
1,2.0,2.96143484,271128a1bc0c48f5b44eb428989c7d17
1,3.0,3.90902925,271128a1bc0c48f5b44eb428989c7d17
1,1.0,2.26767325,271128a1bc0c48f5b44eb428989c7d17
1,2.0,5.025951999999998,271128a1bc0c48f5b44eb428989c7d17
2,1.0,5.430001,271128a1bc0c48f5b44eb428989c7d17
2,3.0,6.058248000000002,271128a1bc0c48f5b44eb428989c7d17
2,1.0,3.82449532,271128a1bc0c48f5b44eb428989c7d17
2,1.0,5.99051571,271128a1bc0c48f5b44eb428989c7d17
2,2.0,4.97519541,271128a1bc0c48f5b44eb428989c7d17
2,3.0,15.6363688,271128a1bc0c48f5b44eb428989c7d17
2,1.0,5.58439445,271128a1bc0c48f5b44eb428989c7d17
2,3.0,4.78904772,271128a1bc0c48f5b44eb428989c7d17
2,1.0,5.195162,271128a1bc0c48f5b44eb428989c7d17
2,1.0,4.636789,271128a1bc0c48f5b44eb428989c7d17
2,1.0,5.719728,271128a1bc0c48f5b44eb428989c7d17
2,2.0,5.516712999999998,271128a1bc0c48f5b44eb428989c7d17
2,2.0,3.70603514,271128a1bc0c48f5b44eb428989c7d17
2,3.0,8.156589,271128a1bc0c48f5b44eb428989c7d17
2,2.0,3.731629,271128a1bc0c48f5b44eb428989c7d17
2,3.0,9.884428,271128a1bc0c48f5b44eb428989c7d17
2,1.0,5.22902966,271128a1bc0c48f5b44eb428989c7d17
2,1.0,6.10903931,271128a1bc0c48f5b44eb428989c7d17
2,3.0,15.4841166,271128a1bc0c48f5b44eb428989c7d17
2,2.0,12.3054638,271128a1bc0c48f5b44eb428989c7d17
2,3.0,3.87526727,271128a1bc0c48f5b44eb428989c7d17
