,0,1,2,3,4,5,6,7,8
0,0.0,0.033,0.01,0.007,0.084,0.866,,,
1,0.003,0.029,0.004,0.024,0.94,,,,
2,0.034,0.046,0.003,0.917,,,,,
3,0.0,0.035,0.005,0.031,0.929,,,,
4,0.0,0.035,0.014,0.763,0.077,0.111,,,
5,0.001,0.01,0.002,0.085,0.902,,,,
6,0.004,0.062,0.008,0.926,,,,,
7,0.01,0.053,0.006,0.931,,,,,
8,0.0,0.002,0.006,0.814,0.145,0.033,,,
9,0.006,0.086,0.002,0.859,0.047,0.0,,,
10,0.019,0.108,0.006,0.001,0.866,,,,
11,0.0,0.105,0.003,0.658,0.234,,,,
12,0.004,0.018,0.007,0.063,0.908,,,,
13,0.0,0.032,0.009,0.823,0.129,0.007,,,
14,0.0,0.0,0.011,0.844,0.043,0.102,,,
15,0.002,0.095,0.008,0.768,0.104,0.023,,,
16,0.002,0.084,0.015,0.866,0.03,0.003,,,
17,0.005,0.101,0.015,0.819,0.046,0.014,,,
18,0.0,0.012,0.0,0.988,,,,,
19,0.011,0.103,0.005,0.879,0.002,,,,
20,0.037,0.106,0.003,0.424,0.43,,,,
21,0.001,0.047,0.009,0.552,0.391,,,,
22,0.034,0.054,0.006,0.872,0.0,0.034,,,
23,0.025,0.002,0.016,0.774,0.177,0.006,,,
24,0.012,0.072,0.007,0.864,0.045,,,,
25,0.0,0.002,0.008,0.61,0.2,0.18,,,
26,0.0,0.003,0.008,0.806,0.082,0.101,,,
27,0.004,0.117,0.011,0.857,0.011,0.0,,,
28,0.005,0.115,0.006,0.053,0.821,,,,
29,0.024,0.077,0.014,0.08,0.805,,,,
30,0.004,0.118,0.008,0.068,0.802,,,,
31,0.012,0.072,0.009,0.833,0.072,0.002,,,
32,0.001,0.023,0.009,0.688,0.279,,,,
33,0.0,0.013,0.012,0.85,0.096,0.029,,,
34,0.005,0.012,0.005,0.009,0.126,0.011,0.102,0.73,
35,0.019,0.0,0.007,0.0,0.029,0.017,0.043,0.885,
36,0.005,0.0,0.003,0.517,0.124,0.02,0.331,,
37,0.001,0.006,0.005,0.582,0.101,0.011,0.0,0.294,
38,0.0,0.003,0.007,0.79,0.164,0.02,0.016,,
39,0.0,0.007,0.016,0.879,0.097,0.0,0.001,,
40,0.0,0.012,0.01,0.021,0.149,0.011,0.042,0.755,
41,0.042,0.01,0.013,0.792,0.13,0.013,0.0,,
42,0.002,0.009,0.002,0.106,0.035,0.007,0.839,,
43,0.003,0.005,0.003,0.065,0.049,0.01,0.865,,
44,0.0,0.003,0.0,0.199,0.081,0.013,0.704,,
45,0.0,0.003,0.008,0.765,0.167,0.005,0.052,,
46,0.049,0.0,0.0,0.074,0.075,0.011,0.791,,
47,0.0,0.048,0.015,0.06,0.062,0.009,0.806,,
48,0.03,0.052,0.005,0.757,0.156,0.0,0.0,,
49,0.0,0.072,0.015,0.722,0.101,0.004,0.086,,
50,0.025,0.02,0.004,0.414,0.162,0.019,0.356,0.0,
51,0.035,0.032,0.01,0.855,0.059,0.002,0.0,0.007,
52,0.026,0.02,0.003,0.786,0.126,0.003,0.036,,
53,0.032,0.056,0.004,0.841,0.059,0.006,0.002,,
54,0.009,0.019,0.005,0.43,0.16,0.009,0.368,,
55,0.016,0.007,0.006,0.0,0.181,0.021,0.769,0.0,
56,0.0,0.0,0.006,0.015,0.074,0.005,0.9,,
57,0.001,0.061,0.009,0.855,0.073,0.0,0.001,,
58,0.012,0.003,0.001,0.39,0.128,0.01,0.1,0.356,
59,0.005,0.011,0.006,0.046,0.145,0.009,0.778,,
60,0.013,0.012,0.002,0.036,0.124,0.023,0.751,0.039,
61,0.012,0.024,0.002,0.797,0.146,0.019,0.0,,
62,0.054,0.003,0.005,0.775,0.15,0.006,0.007,,
63,0.017,0.029,0.005,0.062,0.082,0.005,0.8,,
64,0.0,0.006,0.001,0.042,0.028,0.016,0.56,0.144,0.203
65,0.03,0.001,0.002,0.0,0.099,0.02,0.715,0.098,0.035
66,0.002,0.008,0.0,0.0,0.047,0.03,0.635,0.26,0.018
