,0,1,2,3,4,5,6,7,8
0,0.0,0.05,0.026,0.01,0.113,0.801,,,
1,0.001,0.02,0.009,0.033,0.937,,,,
2,0.054,0.071,0.009,0.866,,,,,
3,0.001,0.054,0.007,0.038,0.9,,,,
4,0.0,0.047,0.017,0.705,0.111,0.12,,,
5,0.001,0.017,0.01,0.102,0.87,,,,
6,0.006,0.086,0.014,0.894,,,,,
7,0.022,0.049,0.011,0.918,,,,,
8,0.0,0.006,0.012,0.785,0.162,0.035,,,
9,0.014,0.098,0.011,0.803,0.074,0.0,,,
10,0.014,0.121,0.02,0.002,0.843,,,,
11,0.0,0.135,0.007,0.643,0.215,,,,
12,0.007,0.02,0.01,0.078,0.885,,,,
13,0.0,0.032,0.013,0.796,0.142,0.017,,,
14,0.0,0.002,0.019,0.81,0.054,0.115,,,
15,0.005,0.098,0.013,0.708,0.13,0.046,,,
16,0.003,0.097,0.027,0.838,0.034,0.001,,,
17,0.008,0.125,0.023,0.757,0.071,0.016,,,
18,0.0,0.012,0.001,0.987,,,,,
19,0.012,0.124,0.01,0.852,0.002,,,,
20,0.04,0.093,0.007,0.444,0.416,,,,
21,0.001,0.055,0.016,0.556,0.372,,,,
22,0.048,0.054,0.015,0.84,0.0,0.043,,,
23,0.028,0.012,0.013,0.686,0.257,0.004,,,
24,0.021,0.076,0.017,0.846,0.04,,,,
25,0.0,0.001,0.013,0.571,0.233,0.182,,,
26,0.0,0.001,0.024,0.782,0.088,0.105,,,
27,0.006,0.112,0.017,0.846,0.018,0.001,,,
28,0.01,0.131,0.011,0.074,0.774,,,,
29,0.035,0.087,0.012,0.098,0.768,,,,
30,0.002,0.132,0.024,0.072,0.77,,,,
31,0.017,0.074,0.019,0.76,0.127,0.003,,,
32,0.003,0.024,0.017,0.67,0.286,,,,
33,0.0,0.033,0.025,0.809,0.103,0.03,,,
34,0.008,0.019,0.022,0.014,0.141,0.02,0.113,0.663,
35,0.039,0.0,0.013,0.002,0.039,0.02,0.035,0.852,
36,0.007,0.0,0.004,0.528,0.123,0.026,0.312,,
37,0.004,0.018,0.015,0.578,0.1,0.016,0.0,0.269,
38,0.0,0.001,0.005,0.752,0.195,0.021,0.026,,
39,0.0,0.004,0.017,0.842,0.135,0.002,0.0,,
40,0.0,0.02,0.005,0.021,0.196,0.015,0.069,0.674,
41,0.052,0.009,0.012,0.752,0.162,0.013,0.0,,
42,0.003,0.008,0.004,0.123,0.043,0.003,0.816,,
43,0.0,0.007,0.008,0.056,0.065,0.021,0.843,,
44,0.0,0.001,0.002,0.202,0.122,0.016,0.657,,
45,0.0,0.005,0.009,0.747,0.169,0.007,0.063,,
46,0.066,0.0,0.003,0.088,0.097,0.016,0.73,,
47,0.0,0.062,0.017,0.068,0.098,0.008,0.747,,
48,0.033,0.056,0.015,0.701,0.195,0.0,0.0,,
49,0.0,0.065,0.019,0.687,0.149,0.003,0.077,,
50,0.03,0.014,0.009,0.371,0.191,0.023,0.362,0.0,
51,0.032,0.031,0.008,0.855,0.064,0.002,0.0,0.008,
52,0.037,0.025,0.008,0.735,0.155,0.008,0.032,,
53,0.045,0.064,0.007,0.802,0.07,0.012,0.0,,
54,0.015,0.035,0.009,0.426,0.152,0.019,0.344,,
55,0.019,0.015,0.004,0.0,0.209,0.03,0.723,0.0,
56,0.0,0.005,0.019,0.028,0.099,0.009,0.84,,
57,0.003,0.065,0.013,0.823,0.092,0.0,0.004,,
58,0.019,0.007,0.003,0.417,0.139,0.015,0.083,0.317,
59,0.003,0.018,0.008,0.076,0.181,0.013,0.701,,
60,0.013,0.006,0.002,0.043,0.162,0.044,0.677,0.053,
61,0.023,0.03,0.004,0.77,0.155,0.017,0.001,,
62,0.073,0.002,0.007,0.751,0.155,0.004,0.008,,
63,0.013,0.031,0.002,0.062,0.094,0.01,0.788,,
64,0.0,0.013,0.002,0.038,0.026,0.026,0.537,0.183,0.175
65,0.028,0.004,0.0,0.001,0.119,0.021,0.687,0.103,0.037
66,0.001,0.012,0.001,0.0,0.056,0.047,0.587,0.269,0.027
67,0.01,0.039,0.008,0.031,0.152,0.023,0.714,0.022,0.001
68,0.003,0.023,0.004,0.008,0.074,0.015,0.645,0.145,0.083
69,0.0,0.0,0.004,0.03,0.122,0.027,0.38,0.055,0.382
70,0.0,0.02,0.0,0.012,0.044,0.015,0.079,0.078,0.752
71,0.0,0.0,0.009,0.836,0.132,0.023,0.0,0.0,0.0
72,0.043,0.022,0.003,0.002,0.156,0.025,0.688,0.035,0.026
73,0.02,0.06,0.011,0.522,0.08,0.009,0.037,0.0,0.261
74,0.016,0.01,0.004,0.002,0.003,0.005,0.062,0.028,0.87
75,0.042,0.001,0.012,0.437,0.112,0.026,0.168,0.04,0.162
76,0.037,0.015,0.004,0.028,0.085,0.021,0.001,0.055,0.754
77,0.033,0.04,0.005,0.476,0.13,0.015,0.254,0.0,0.047
78,0.0,0.005,0.005,0.293,0.161,0.025,0.45,0.061,0.0
79,0.015,0.027,0.009,0.016,0.179,0.031,0.715,0.008,0.0
80,0.043,0.004,0.004,0.034,0.183,0.023,0.701,0.005,0.003
81,0.051,0.0,0.001,0.717,0.206,0.015,0.001,0.006,0.003
82,0.0,0.004,0.003,0.759,0.204,0.03,0.0,0.0,0.0
83,0.011,0.078,0.01,0.024,0.041,0.008,0.066,0.025,0.737
84,0.005,0.04,0.016,0.057,0.048,0.018,0.081,0.0,0.735
85,0.005,0.008,0.004,0.08,0.11,0.033,0.308,0.071,0.381
86,0.0,0.007,0.003,0.037,0.139,0.019,0.705,0.073,0.017
