,0,1,2,3,4,5,6,7,8
0,0.0,0.008,0.002,0.002,0.544,0.444,,,
1,0.0,0.012,0.008,0.0,0.98,,,,
2,0.01,0.082,0.012,0.896,,,,,
3,0.0,0.034,0.002,0.0,0.964,,,,
4,0.0,0.138,0.02,0.004,0.708,0.13,,,
5,0.0,0.018,0.004,0.0,0.978,,,,
6,0.007,0.095,0.021,0.877,,,,,
7,0.006,0.013,0.009,0.972,,,,,
8,0.0,0.018,0.002,0.004,0.804,0.172,,,
9,0.004,0.138,0.006,0.004,0.106,0.742,,,
10,0.012,0.128,0.012,0.0,0.848,,,,
11,0.004,0.074,0.02,0.0,0.902,,,,
12,0.004,0.018,0.008,0.002,0.968,,,,
13,0.0,0.13,0.01,0.004,0.812,0.044,,,
14,0.0,0.0,0.026,0.0,0.04,0.934,,,
15,0.0,0.03,0.026,0.006,0.006,0.932,,,
16,0.0,0.096,0.024,0.004,0.806,0.07,,,
17,0.0,0.134,0.014,0.002,0.0,0.85,,,
18,0.001,0.005,0.001,0.993,,,,,
19,0.014,0.132,0.018,0.0,0.836,,,,
20,0.002,0.15,0.004,0.0,0.844,,,,
21,0.0,0.02,0.016,0.006,0.958,,,,
22,0.01,0.068,0.018,0.002,0.058,0.844,,,
23,0.022,0.136,0.02,0.004,0.796,0.022,,,
24,0.0,0.122,0.028,0.002,0.848,,,,
25,0.0,0.118,0.028,0.004,0.716,0.134,,,
26,0.0,0.004,0.014,0.002,0.008,0.972,,,
27,0.006,0.138,0.022,0.002,0.822,0.01,,,
28,0.004,0.082,0.03,0.0,0.884,,,,
29,0.006,0.092,0.004,0.004,0.894,,,,
30,0.0,0.072,0.016,0.0,0.912,,,,
31,0.014,0.048,0.008,0.002,0.862,0.066,,,
32,0.0,0.004,0.006,0.0,0.99,,,,
33,0.0,0.07,0.01,0.004,0.402,0.514,,,
34,0.002,0.052,0.004,0.002,0.1,0.126,0.012,0.702,
35,0.008,0.0,0.012,0.0,0.466,0.048,0.008,0.458,
36,0.008,0.002,0.008,0.004,0.078,0.096,0.804,,
37,0.0,0.022,0.022,0.002,0.442,0.152,0.02,0.34,
38,0.0,0.012,0.018,0.0,0.788,0.172,0.01,,
39,0.014,0.01,0.012,0.0,0.802,0.13,0.032,,
40,0.0,0.02,0.018,0.0,0.746,0.154,0.016,0.046,
41,0.0,0.05,0.0,0.002,0.742,0.19,0.016,,
42,0.002,0.002,0.004,0.0,0.01,0.068,0.914,,
43,0.0,0.006,0.02,0.0,0.222,0.084,0.668,,
44,0.0,0.0,0.0,0.0,0.038,0.132,0.83,,
45,0.0,0.01,0.008,0.0,0.732,0.126,0.124,,
46,0.012,0.0,0.0,0.0,0.66,0.188,0.14,,
47,0.01,0.01,0.006,0.0,0.318,0.104,0.552,,
48,0.006,0.042,0.016,0.004,0.704,0.118,0.11,,
49,0.0,0.056,0.008,0.002,0.804,0.094,0.036,,
50,0.004,0.004,0.002,0.004,0.832,0.12,0.034,0.0,
51,0.004,0.106,0.014,0.004,0.246,0.098,0.018,0.51,
52,0.0,0.006,0.024,0.0,0.44,0.15,0.38,,
53,0.004,0.054,0.022,0.004,0.654,0.254,0.008,,
54,0.0,0.008,0.016,0.0,0.848,0.118,0.01,,
55,0.004,0.0,0.006,0.004,0.76,0.186,0.04,0.0,
56,0.0,0.002,0.006,0.002,0.066,0.18,0.744,,
57,0.0,0.01,0.008,0.004,0.696,0.134,0.148,,
58,0.002,0.05,0.024,0.0,0.44,0.058,0.01,0.416,
59,0.002,0.008,0.022,0.002,0.744,0.212,0.01,,
60,0.0,0.008,0.004,0.0,0.658,0.306,0.024,0.0,
61,0.0,0.036,0.01,0.0,0.752,0.16,0.042,,
62,0.002,0.028,0.03,0.004,0.806,0.114,0.016,,
63,0.0,0.01,0.012,0.0,0.588,0.116,0.274,,
64,0.0,0.012,0.002,0.0,0.27,0.1,0.044,0.016,0.556
65,0.0,0.0,0.004,0.0,0.73,0.194,0.04,0.0,0.032
66,0.0,0.056,0.006,0.0,0.428,0.228,0.052,0.004,0.226
67,0.004,0.048,0.016,0.004,0.764,0.148,0.012,0.0,0.004
68,0.0,0.008,0.0,0.002,0.684,0.168,0.064,0.006,0.068
69,0.0,0.0,0.004,0.002,0.25,0.164,0.024,0.006,0.55
70,0.0,0.008,0.004,0.0,0.048,0.016,0.008,0.0,0.916
71,0.0,0.0,0.0,0.002,0.808,0.168,0.022,0.0,0.0
72,0.018,0.026,0.0,0.002,0.822,0.09,0.02,0.008,0.014
73,0.0,0.142,0.024,0.0,0.0,0.012,0.016,0.0,0.806
74,0.04,0.004,0.004,0.0,0.0,0.026,0.014,0.004,0.908
75,0.006,0.0,0.012,0.002,0.306,0.18,0.026,0.004,0.464
76,0.008,0.012,0.0,0.0,0.028,0.028,0.012,0.002,0.91
77,0.018,0.036,0.002,0.0,0.482,0.184,0.028,0.0,0.25
78,0.022,0.006,0.01,0.006,0.736,0.208,0.012,0.0,0.0
79,0.0,0.044,0.014,0.002,0.71,0.196,0.022,0.004,0.008
80,0.0,0.024,0.002,0.0,0.764,0.166,0.028,0.0,0.016
81,0.008,0.0,0.018,0.002,0.828,0.088,0.014,0.002,0.04
82,0.0,0.008,0.002,0.002,0.734,0.204,0.048,0.002,0.0
83,0.0,0.146,0.01,0.0,0.04,0.028,0.008,0.0,0.768
84,0.0,0.116,0.04,0.0,0.054,0.01,0.006,0.0,0.774
85,0.002,0.002,0.004,0.0,0.464,0.172,0.016,0.004,0.336
86,0.0,0.002,0.012,0.002,0.788,0.186,0.01,0.0,0.0
87,0.0,0.052,0.018,0.002,0.062,0.092,0.028,0.004,0.742
88,0.0,0.046,0.004,0.0,0.704,0.208,0.016,0.006,0.016
89,0.0,0.004,0.0,0.0,0.664,0.278,0.042,0.004,0.008
90,0.0,0.0,0.0,0.0,0.73,0.066,0.016,0.006,0.182
