,0,1,2,3,4,5,6,7,8
0,0.0,0.046,0.012,0.008,0.11,0.824,,,
1,0.003,0.022,0.006,0.036,0.933,,,,
2,0.048,0.071,0.008,0.873,,,,,
3,0.001,0.055,0.009,0.037,0.898,,,,
4,0.0,0.039,0.012,0.749,0.09,0.11,,,
5,0.002,0.016,0.012,0.078,0.892,,,,
6,0.005,0.061,0.012,0.922,,,,,
7,0.015,0.059,0.006,0.92,,,,,
8,0.0,0.004,0.01,0.785,0.154,0.047,,,
9,0.004,0.104,0.006,0.812,0.074,0.0,,,
10,0.019,0.115,0.013,0.001,0.852,,,,
11,0.0,0.128,0.008,0.644,0.22,,,,
12,0.015,0.025,0.005,0.062,0.893,,,,
13,0.0,0.038,0.013,0.806,0.135,0.008,,,
14,0.0,0.001,0.024,0.799,0.055,0.121,,,
15,0.0,0.1,0.012,0.697,0.15,0.041,,,
16,0.001,0.11,0.013,0.853,0.023,0.0,,,
17,0.007,0.115,0.015,0.774,0.064,0.025,,,
18,0.0,0.014,0.0,0.986,,,,,
19,0.018,0.104,0.006,0.867,0.005,,,,
20,0.04,0.096,0.005,0.428,0.431,,,,
21,0.001,0.06,0.011,0.573,0.355,,,,
22,0.03,0.056,0.015,0.86,0.0,0.039,,,
23,0.027,0.009,0.01,0.721,0.22,0.013,,,
24,0.021,0.084,0.008,0.82,0.067,,,,
25,0.0,0.002,0.014,0.566,0.21,0.208,,,
26,0.0,0.005,0.021,0.734,0.086,0.154,,,
27,0.006,0.101,0.02,0.861,0.012,0.0,,,
28,0.012,0.101,0.017,0.073,0.797,,,,
29,0.022,0.076,0.017,0.087,0.798,,,,
30,0.0,0.1,0.012,0.069,0.819,,,,
31,0.012,0.071,0.012,0.792,0.113,0.0,,,
32,0.003,0.018,0.017,0.694,0.268,,,,
33,0.0,0.023,0.02,0.833,0.092,0.032,,,
34,0.009,0.015,0.009,0.014,0.128,0.016,0.118,0.691,
35,0.021,0.0,0.011,0.002,0.044,0.016,0.045,0.861,
36,0.003,0.001,0.009,0.535,0.139,0.024,0.289,,
37,0.002,0.012,0.012,0.575,0.116,0.016,0.001,0.266,
38,0.0,0.003,0.003,0.779,0.171,0.021,0.023,,
39,0.0,0.011,0.023,0.84,0.122,0.003,0.001,,
40,0.0,0.013,0.007,0.022,0.151,0.018,0.056,0.733,
41,0.045,0.011,0.011,0.773,0.143,0.017,0.0,,
42,0.003,0.01,0.001,0.128,0.029,0.01,0.819,,
43,0.001,0.008,0.005,0.063,0.068,0.016,0.839,,
44,0.0,0.002,0.001,0.243,0.093,0.01,0.651,,
45,0.0,0.003,0.008,0.763,0.172,0.01,0.044,,
46,0.067,0.0,0.002,0.073,0.094,0.012,0.752,,
47,0.0,0.052,0.018,0.066,0.082,0.009,0.773,,
48,0.026,0.061,0.015,0.705,0.189,0.001,0.003,,
49,0.0,0.061,0.016,0.703,0.115,0.005,0.1,,
50,0.022,0.017,0.008,0.399,0.184,0.026,0.344,0.0,
51,0.028,0.041,0.007,0.85,0.062,0.001,0.0,0.011,
52,0.043,0.025,0.009,0.74,0.146,0.007,0.03,,
53,0.049,0.052,0.001,0.802,0.076,0.02,0.0,,
54,0.014,0.03,0.012,0.418,0.148,0.024,0.354,,
55,0.019,0.023,0.013,0.0,0.186,0.019,0.74,0.0,
56,0.0,0.003,0.022,0.034,0.101,0.008,0.832,,
57,0.003,0.066,0.018,0.813,0.097,0.001,0.002,,
58,0.018,0.004,0.005,0.405,0.112,0.021,0.095,0.34,
59,0.007,0.023,0.01,0.056,0.157,0.016,0.731,,
60,0.011,0.009,0.001,0.057,0.128,0.024,0.722,0.048,
61,0.015,0.028,0.004,0.768,0.156,0.028,0.001,,
62,0.05,0.002,0.012,0.773,0.15,0.005,0.008,,
63,0.016,0.026,0.008,0.06,0.109,0.012,0.769,,
64,0.0,0.003,0.003,0.033,0.043,0.024,0.53,0.192,0.172
65,0.028,0.002,0.001,0.001,0.12,0.023,0.696,0.103,0.026
