,0,1,2,3,4,5,6,7,8
0,0.0,0.072,0.034,0.004,0.0,0.89,,,
1,0.004,0.028,0.022,0.006,0.94,,,,
2,0.065,0.076,0.012,0.847,,,,,
3,0.006,0.066,0.016,0.0,0.912,,,,
4,0.0,0.166,0.022,0.002,0.0,0.81,,,
5,0.0,0.022,0.01,0.002,0.966,,,,
6,0.008,0.094,0.015,0.883,,,,,
7,0.023,0.077,0.019,0.881,,,,,
8,0.0,0.05,0.022,0.008,0.0,0.92,,,
9,0.02,0.196,0.012,0.002,0.0,0.77,,,
10,0.016,0.124,0.026,0.006,0.828,,,,
11,0.0,0.178,0.012,0.0,0.81,,,,
12,0.02,0.026,0.01,0.0,0.944,,,,
13,0.0,0.138,0.026,0.002,0.0,0.834,,,
14,0.0,0.0,0.028,0.006,0.0,0.966,,,
15,0.0,0.162,0.02,0.0,0.0,0.818,,,
16,0.002,0.136,0.036,0.004,0.002,0.82,,,
17,0.01,0.15,0.032,0.002,0.0,0.806,,,
18,0.0,0.015,0.003,0.982,,,,,
19,0.01,0.126,0.01,0.004,0.85,,,,
20,0.046,0.1,0.01,0.002,0.842,,,,
21,0.006,0.094,0.024,0.0,0.876,,,,
22,0.05,0.086,0.022,0.002,0.0,0.84,,,
23,0.034,0.122,0.016,0.004,0.0,0.824,,,
24,0.034,0.1,0.02,0.0,0.846,,,,
25,0.0,0.134,0.016,0.002,0.0,0.848,,,
26,0.0,0.004,0.03,0.008,0.0,0.958,,,
27,0.006,0.146,0.02,0.0,0.0,0.828,,,
28,0.012,0.172,0.024,0.0,0.792,,,,
29,0.03,0.082,0.024,0.0,0.864,,,,
30,0.0,0.17,0.032,0.0,0.798,,,,
31,0.008,0.096,0.026,0.002,0.002,0.866,,,
32,0.006,0.038,0.016,0.002,0.938,,,,
33,0.002,0.086,0.034,0.004,0.0,0.874,,,
34,0.006,0.148,0.028,0.01,0.004,0.706,0.098,0.0,
35,0.024,0.0,0.018,0.004,0.0,0.334,0.128,0.492,
36,0.01,0.084,0.032,0.006,0.0,0.134,0.734,,
37,0.004,0.13,0.03,0.006,0.002,0.642,0.144,0.042,
38,0.0,0.008,0.026,0.004,0.0,0.79,0.172,,
39,0.0,0.036,0.034,0.008,0.0,0.074,0.848,,
40,0.0,0.074,0.024,0.004,0.0,0.74,0.088,0.07,
41,0.074,0.104,0.01,0.0,0.0,0.802,0.01,,
42,0.0,0.01,0.008,0.0,0.0,0.094,0.888,,
43,0.004,0.036,0.026,0.002,0.0,0.148,0.784,,
44,0.0,0.0,0.01,0.004,0.004,0.324,0.658,,
45,0.0,0.016,0.02,0.0,0.002,0.08,0.882,,
46,0.09,0.0,0.008,0.004,0.0,0.564,0.334,,
47,0.0,0.084,0.036,0.002,0.0,0.332,0.546,,
48,0.032,0.116,0.02,0.004,0.0,0.148,0.68,,
49,0.0,0.112,0.024,0.002,0.0,0.514,0.348,,
50,0.034,0.056,0.016,0.002,0.0,0.724,0.16,0.008,
51,0.06,0.104,0.008,0.002,0.0,0.398,0.012,0.416,
52,0.05,0.086,0.024,0.0,0.0,0.326,0.514,,
53,0.074,0.122,0.01,0.0,0.0,0.79,0.004,,
54,0.018,0.064,0.028,0.002,0.0,0.792,0.096,,
55,0.016,0.09,0.02,0.004,0.0,0.756,0.11,0.004,
56,0.0,0.002,0.022,0.004,0.0,0.63,0.342,,
57,0.006,0.152,0.032,0.002,0.0,0.786,0.022,,
58,0.032,0.02,0.032,0.002,0.0,0.732,0.118,0.064,
59,0.002,0.08,0.024,0.002,0.0,0.83,0.062,,
60,0.016,0.022,0.012,0.004,0.0,0.832,0.064,0.05,
61,0.024,0.102,0.018,0.006,0.0,0.828,0.022,,
62,0.086,0.062,0.004,0.002,0.0,0.73,0.116,,
63,0.022,0.124,0.018,0.004,0.002,0.294,0.536,,
64,0.0,0.016,0.004,0.006,0.0,0.242,0.14,0.03,0.562
65,0.05,0.006,0.008,0.0,0.0,0.694,0.144,0.03,0.068
66,0.002,0.02,0.014,0.008,0.0,0.742,0.174,0.04,0.0
67,0.012,0.06,0.01,0.004,0.0,0.734,0.174,0.004,0.002
68,0.004,0.064,0.024,0.002,0.0,0.006,0.142,0.024,0.734
69,0.0,0.0,0.006,0.006,0.0,0.762,0.11,0.042,0.074
70,0.002,0.034,0.006,0.002,0.0,0.02,0.08,0.022,0.834
71,0.0,0.0,0.036,0.004,0.0,0.752,0.206,0.0,0.002
72,0.036,0.038,0.01,0.004,0.0,0.56,0.182,0.01,0.16
73,0.056,0.138,0.02,0.002,0.0,0.042,0.074,0.006,0.662
74,0.058,0.0,0.016,0.0,0.0,0.002,0.084,0.02,0.82
75,0.042,0.006,0.018,0.004,0.0,0.786,0.134,0.008,0.002
76,0.044,0.03,0.006,0.006,0.0,0.044,0.042,0.02,0.808
77,0.058,0.066,0.016,0.002,0.0,0.608,0.25,0.0,0.0
78,0.0,0.1,0.02,0.002,0.0,0.802,0.06,0.014,0.002
79,0.02,0.064,0.008,0.0,0.0,0.706,0.162,0.022,0.018
80,0.042,0.002,0.024,0.0,0.0,0.742,0.182,0.006,0.002
81,0.06,0.0,0.008,0.002,0.0,0.81,0.094,0.024,0.002
82,0.0,0.002,0.01,0.006,0.0,0.774,0.176,0.032,0.0
83,0.01,0.136,0.024,0.002,0.0,0.0,0.044,0.0,0.784
84,0.002,0.044,0.03,0.002,0.0,0.012,0.128,0.012,0.77
85,0.002,0.042,0.006,0.002,0.0,0.778,0.104,0.01,0.056
86,0.0,0.01,0.026,0.002,0.0,0.808,0.142,0.01,0.002
87,0.046,0.076,0.026,0.004,0.0,0.694,0.152,0.002,0.0
88,0.042,0.128,0.02,0.0,0.0,0.672,0.134,0.004,0.0
89,0.0,0.002,0.0,0.002,0.002,0.66,0.296,0.036,0.002
90,0.0,0.0,0.002,0.004,0.0,0.078,0.098,0.036,0.782
91,0.0,0.01,0.014,0.004,0.0,0.714,0.252,0.006,0.0
92,0.01,0.09,0.036,0.0,0.0,0.75,0.114,0.0,0.0
93,0.002,0.04,0.016,0.0,0.004,0.696,0.226,0.016,0.0
