,0,1,2,3,4,5,6,7,8
0,0.004,0.12,0.402,0.156,0.114,0.204,,,
1,0.022,0.03,0.202,0.232,0.514,,,,
2,0.265,0.225,0.286,0.224,,,,,
3,0.016,0.104,0.162,0.36,0.358,,,,
4,0.0,0.338,0.396,0.128,0.036,0.102,,,
5,0.0,0.148,0.26,0.254,0.338,,,,
6,0.032,0.309,0.467,0.192,,,,,
7,0.09,0.274,0.407,0.229,,,,,
8,0.0,0.136,0.166,0.354,0.1,0.244,,,
9,0.066,0.462,0.122,0.22,0.04,0.09,,,
10,0.116,0.224,0.35,0.228,0.082,,,,
11,0.0,0.684,0.144,0.07,0.102,,,,
12,0.062,0.292,0.29,0.132,0.224,,,,
13,0.0,0.244,0.208,0.286,0.104,0.158,,,
14,0.0,0.048,0.356,0.276,0.138,0.182,,,
15,0.012,0.348,0.354,0.16,0.008,0.118,,,
16,0.012,0.168,0.322,0.29,0.086,0.122,,,
17,0.042,0.268,0.316,0.194,0.052,0.128,,,
18,0.001,0.111,0.221,0.667,,,,,
19,0.076,0.484,0.238,0.1,0.102,,,,
20,0.198,0.374,0.212,0.066,0.15,,,,
21,0.02,0.276,0.364,0.116,0.224,,,,
22,0.186,0.17,0.276,0.18,0.028,0.16,,,
23,0.124,0.25,0.178,0.226,0.1,0.122,,,
24,0.088,0.412,0.274,0.092,0.134,,,,
25,0.002,0.182,0.27,0.138,0.254,0.154,,,
26,0.0,0.11,0.124,0.396,0.192,0.178,,,
27,0.026,0.348,0.436,0.094,0.012,0.084,,,
28,0.052,0.404,0.398,0.032,0.114,,,,
29,0.148,0.33,0.32,0.08,0.122,,,,
30,0.0,0.2,0.464,0.196,0.14,,,,
31,0.078,0.134,0.31,0.25,0.076,0.152,,,
32,0.014,0.108,0.238,0.392,0.248,,,,
33,0.004,0.122,0.398,0.256,0.032,0.188,,,
34,0.052,0.138,0.086,0.336,0.262,0.07,0.056,0.0,
35,0.192,0.0,0.182,0.222,0.134,0.038,0.114,0.118,
36,0.036,0.056,0.236,0.218,0.18,0.198,0.076,,
37,0.008,0.176,0.206,0.29,0.114,0.062,0.112,0.032,
38,0.0,0.13,0.154,0.23,0.198,0.16,0.128,,
39,0.0,0.14,0.29,0.268,0.106,0.064,0.132,,
40,0.0,0.152,0.226,0.258,0.144,0.102,0.088,0.03,
41,0.326,0.222,0.172,0.076,0.068,0.118,0.018,,
42,0.02,0.148,0.104,0.18,0.102,0.136,0.31,,
43,0.014,0.202,0.194,0.152,0.094,0.198,0.146,,
44,0.0,0.04,0.112,0.236,0.23,0.146,0.236,,
45,0.0,0.156,0.28,0.174,0.12,0.072,0.198,,
46,0.344,0.0,0.114,0.114,0.098,0.21,0.12,,
47,0.0,0.242,0.364,0.194,0.072,0.068,0.06,,
48,0.206,0.22,0.156,0.23,0.076,0.092,0.02,,
49,0.002,0.358,0.318,0.162,0.042,0.094,0.024,,
50,0.118,0.224,0.266,0.142,0.078,0.078,0.084,0.01,
51,0.222,0.222,0.162,0.19,0.082,0.052,0.014,0.056,
52,0.202,0.258,0.216,0.122,0.04,0.066,0.096,,
53,0.298,0.408,0.074,0.094,0.004,0.12,0.002,,
54,0.094,0.104,0.244,0.238,0.114,0.164,0.042,,
55,0.09,0.18,0.244,0.166,0.134,0.11,0.074,0.002,
56,0.0,0.066,0.402,0.21,0.09,0.118,0.114,,
57,0.026,0.346,0.342,0.126,0.058,0.088,0.014,,
58,0.112,0.044,0.188,0.216,0.19,0.12,0.088,0.042,
59,0.02,0.226,0.206,0.272,0.116,0.126,0.034,,
60,0.04,0.07,0.088,0.126,0.198,0.28,0.128,0.07,
61,0.116,0.224,0.164,0.26,0.114,0.116,0.006,,
62,0.36,0.074,0.108,0.18,0.118,0.136,0.024,,
63,0.076,0.314,0.2,0.126,0.068,0.09,0.126,,
64,0.0,0.266,0.048,0.176,0.164,0.072,0.088,0.134,0.052
65,0.146,0.04,0.068,0.212,0.166,0.15,0.098,0.1,0.02
66,0.0,0.24,0.196,0.126,0.144,0.132,0.032,0.128,0.002
67,0.072,0.216,0.318,0.12,0.078,0.082,0.104,0.01,0.0
68,0.032,0.296,0.132,0.168,0.1,0.034,0.108,0.096,0.034
69,0.0,0.01,0.2,0.178,0.174,0.208,0.1,0.09,0.04
70,0.008,0.196,0.232,0.106,0.086,0.074,0.128,0.094,0.076
71,0.0,0.0,0.32,0.232,0.136,0.156,0.152,0.0,0.004
72,0.248,0.224,0.142,0.12,0.074,0.054,0.096,0.034,0.008
73,0.106,0.234,0.332,0.082,0.078,0.074,0.058,0.008,0.028
74,0.142,0.138,0.232,0.09,0.014,0.058,0.128,0.106,0.092
75,0.18,0.064,0.21,0.196,0.124,0.114,0.096,0.014,0.002
76,0.162,0.168,0.106,0.202,0.086,0.056,0.036,0.132,0.052
77,0.234,0.256,0.196,0.098,0.054,0.042,0.12,0.0,0.0
78,0.0,0.202,0.148,0.25,0.13,0.18,0.048,0.032,0.01
79,0.118,0.176,0.24,0.048,0.082,0.13,0.11,0.08,0.016
80,0.246,0.03,0.122,0.206,0.126,0.128,0.114,0.02,0.008
81,0.386,0.0,0.102,0.098,0.134,0.188,0.026,0.062,0.004
82,0.0,0.064,0.142,0.286,0.15,0.144,0.13,0.082,0.002
83,0.07,0.258,0.336,0.052,0.068,0.026,0.096,0.036,0.058
84,0.018,0.12,0.466,0.118,0.08,0.062,0.082,0.022,0.032
85,0.018,0.094,0.244,0.222,0.116,0.14,0.096,0.046,0.024
86,0.0,0.166,0.25,0.15,0.126,0.17,0.112,0.024,0.002
87,0.174,0.176,0.316,0.106,0.062,0.114,0.042,0.01,0.0
88,0.154,0.29,0.274,0.122,0.056,0.048,0.048,0.008,0.0
89,0.0,0.118,0.036,0.202,0.178,0.13,0.186,0.096,0.054
90,0.0,0.0,0.016,0.13,0.2,0.284,0.124,0.16,0.086
91,0.0,0.112,0.202,0.256,0.198,0.068,0.134,0.02,0.01
92,0.046,0.194,0.304,0.202,0.076,0.092,0.078,0.008,0.0
93,0.012,0.262,0.164,0.112,0.126,0.146,0.136,0.042,0.0
