,0,1,2,3,4,5,6,7,8
0,0.0,0.0,0.024,0.006,0.544,0.426,,,
1,0.0,0.0,0.0,0.01,0.99,,,,
2,0.0,0.006,0.498,0.496,,,,,
3,0.0,0.0,0.0,0.004,0.996,,,,
4,0.0,0.0,0.138,0.256,0.536,0.07,,,
5,0.0,0.0,0.0,0.008,0.992,,,,
6,0.0,0.0,0.754,0.246,,,,,
7,0.0,0.0,0.494,0.506,,,,,
8,0.0,0.0,0.002,0.476,0.47,0.052,,,
9,0.0,0.052,0.0,0.922,0.002,0.024,,,
10,0.0,0.086,0.8,0.0,0.114,,,,
11,0.0,0.0,0.524,0.21,0.266,,,,
12,0.0,0.012,0.034,0.04,0.914,,,,
13,0.0,0.024,0.26,0.41,0.286,0.02,,,
14,0.0,0.0,0.0,0.586,0.016,0.398,,,
15,0.0,0.0,0.01,0.98,0.0,0.01,,,
16,0.0,0.0,0.002,0.034,0.58,0.384,,,
17,0.0,0.322,0.65,0.016,0.0,0.012,,,
18,0.0,0.0,0.0,1.0,,,,,
19,0.0,0.052,0.012,0.904,0.032,,,,
20,0.0,0.996,0.0,0.002,0.002,,,,
21,0.0,0.002,0.01,0.526,0.462,,,,
22,0.0,0.01,0.25,0.702,0.0,0.038,,,
23,0.0,0.0,0.504,0.25,0.246,0.0,,,
24,0.0,0.0,0.99,0.01,0.0,,,,
25,0.0,0.0,0.004,0.004,0.984,0.008,,,
26,0.0,0.0,0.0,0.18,0.82,0.0,,,
27,0.0,0.0,0.998,0.002,0.0,0.0,,,
28,0.0,0.0,0.956,0.0,0.044,,,,
29,0.0,0.002,0.004,0.422,0.572,,,,
30,0.0,0.0,0.984,0.004,0.012,,,,
31,0.0,0.0,0.008,0.32,0.35,0.322,,,
32,0.0,0.0,0.0,0.898,0.102,,,,
33,0.0,0.0,0.026,0.064,0.506,0.404,,,
34,0.0,0.5,0.0,0.0,0.01,0.008,0.48,0.002,
35,0.0,0.0,0.0,0.024,0.464,0.0,0.196,0.316,
36,0.0,0.0,0.0,0.0,0.0,0.496,0.504,,
37,0.0,0.0,0.152,0.524,0.17,0.154,0.0,0.0,
38,0.0,0.0,0.0,0.0,0.06,0.908,0.032,,
39,0.0,0.0,0.0,0.408,0.584,0.002,0.006,,
40,0.0,0.0,0.25,0.142,0.392,0.086,0.0,0.13,
41,0.0,0.0,0.0,0.036,0.002,0.962,0.0,,
42,0.0,0.0,0.0,0.002,0.004,0.016,0.978,,
43,0.0,0.0,0.0,0.006,0.0,0.046,0.948,,
44,0.0,0.0,0.0,0.0,0.008,0.436,0.556,,
45,0.0,0.0,0.0,0.208,0.02,0.196,0.576,,
46,0.0,0.0,0.0,0.0,0.02,0.244,0.736,,
47,0.0,0.0,0.0,0.0,0.006,0.49,0.504,,
48,0.0,0.0,0.006,0.0,0.942,0.002,0.05,,
49,0.0,0.002,0.006,0.004,0.548,0.274,0.166,,
50,0.0,0.0,0.0,0.006,0.44,0.028,0.522,0.004,
51,0.0,0.034,0.024,0.848,0.044,0.02,0.006,0.024,
52,0.0,0.0,0.002,0.056,0.28,0.638,0.024,,
53,0.0,0.258,0.0,0.01,0.0,0.728,0.004,,
54,0.0,0.0,0.0,0.002,0.086,0.834,0.078,,
55,0.0,0.0,0.066,0.004,0.1,0.048,0.774,0.008,
56,0.0,0.0,0.0,0.006,0.01,0.736,0.248,,
57,0.0,0.0,0.0,0.1,0.092,0.72,0.088,,
58,0.0,0.004,0.106,0.234,0.218,0.08,0.094,0.264,
59,0.0,0.0,0.002,0.03,0.144,0.472,0.352,,
60,0.0,0.024,0.0,0.006,0.036,0.652,0.232,0.05,
61,0.0,0.0,0.006,0.0,0.028,0.508,0.458,,
62,0.0,0.0,0.0,0.012,0.944,0.042,0.002,,
63,0.0,0.0,0.0,0.04,0.118,0.602,0.24,,
64,0.0,0.0,0.028,0.036,0.012,0.102,0.13,0.418,0.274
65,0.0,0.0,0.0,0.032,0.23,0.0,0.454,0.28,0.004
66,0.0,0.0,0.0,0.0,0.042,0.058,0.054,0.842,0.004
67,0.0,0.0,0.168,0.352,0.23,0.126,0.11,0.006,0.008
68,0.0,0.0,0.0,0.0,0.332,0.0,0.03,0.638,0.0
69,0.0,0.0,0.076,0.04,0.0,0.006,0.306,0.096,0.476
70,0.0,0.004,0.002,0.0,0.002,0.004,0.0,0.008,0.98
71,0.0,0.0,0.012,0.494,0.194,0.064,0.236,0.0,0.0
72,0.0,0.0,0.004,0.01,0.56,0.09,0.158,0.11,0.068
73,0.0,0.902,0.014,0.008,0.004,0.024,0.022,0.0,0.026
74,0.0,0.0,0.008,0.0,0.002,0.002,0.014,0.198,0.776
75,0.0,0.0,0.0,0.002,0.316,0.07,0.004,0.274,0.334
76,0.0,0.0,0.0,0.004,0.014,0.0,0.002,0.282,0.698
77,0.0,0.0,0.002,0.008,0.878,0.088,0.024,0.0,0.0
78,0.0,0.0,0.0,0.144,0.034,0.552,0.102,0.084,0.084
79,0.0,0.27,0.424,0.136,0.0,0.0,0.038,0.12,0.012
80,0.0,0.014,0.0,0.0,0.47,0.238,0.264,0.014,0.0
81,0.0,0.0,0.0,0.0,0.466,0.512,0.0,0.022,0.0
82,0.0,0.0,0.002,0.514,0.402,0.032,0.048,0.002,0.0
83,0.0,0.0,0.958,0.0,0.006,0.0,0.006,0.0,0.03
84,0.0,0.986,0.0,0.006,0.0,0.0,0.0,0.0,0.008
85,0.0,0.0,0.0,0.0,0.96,0.0,0.01,0.012,0.018
86,0.0,0.0,0.438,0.004,0.002,0.142,0.202,0.028,0.184
87,0.0,0.0,0.006,0.0,0.002,0.002,0.0,0.96,0.03
88,0.0,0.0,0.01,0.088,0.042,0.054,0.366,0.404,0.036
89,0.0,0.0,0.0,0.0,0.002,0.038,0.92,0.006,0.034
90,0.0,0.0,0.0,0.0,0.004,0.302,0.054,0.292,0.348
91,0.0,0.0,0.0,0.0,0.004,0.012,0.466,0.0,0.518
92,0.0,0.0,0.002,0.044,0.704,0.0,0.038,0.21,0.002
93,0.0,0.0,0.0,0.0,0.192,0.05,0.148,0.454,0.156
