,0,1,2,3,4,5,6,7,8
0,0.0,0.0,0.0,0.0,0.63,0.37,,,
1,0.0,0.0,0.0,0.0,1.0,,,,
2,0.0,0.0,0.0,1.0,,,,,
3,0.0,0.0,0.0,0.0,1.0,,,,
4,0.0,0.0,0.0,0.0,0.878,0.122,,,
5,0.0,0.0,0.0,0.0,1.0,,,,
6,0.0,0.0,0.0,1.0,,,,,
7,0.0,0.0,0.0,1.0,,,,,
8,0.0,0.0,0.0,0.0,0.552,0.448,,,
9,0.0,0.0,0.0,0.0,0.708,0.292,,,
10,0.0,0.0,0.0,0.0,1.0,,,,
11,0.0,0.0,0.0,0.0,1.0,,,,
12,0.0,0.0,0.0,0.0,1.0,,,,
13,0.0,0.0,0.0,0.0,0.888,0.112,,,
14,0.0,0.0,0.0,0.0,0.256,0.744,,,
15,0.0,0.0,0.0,0.0,0.828,0.172,,,
16,0.0,0.0,0.0,0.0,0.97,0.03,,,
17,0.0,0.0,0.0,0.0,0.9,0.1,,,
18,0.0,0.0,0.0,1.0,,,,,
19,0.0,0.0,0.0,0.0,1.0,,,,
20,0.0,0.0,0.0,0.0,1.0,,,,
21,0.0,0.0,0.0,0.0,1.0,,,,
22,0.0,0.0,0.0,0.0,0.614,0.386,,,
23,0.0,0.0,0.0,0.0,0.768,0.232,,,
24,0.0,0.0,0.0,0.0,1.0,,,,
25,0.0,0.0,0.0,0.0,0.936,0.064,,,
26,0.0,0.0,0.0,0.0,0.904,0.096,,,
27,0.0,0.0,0.0,0.0,0.908,0.092,,,
28,0.0,0.0,0.0,0.0,1.0,,,,
29,0.0,0.0,0.0,0.0,1.0,,,,
30,0.0,0.0,0.0,0.0,1.0,,,,
31,0.0,0.0,0.0,0.0,0.96,0.04,,,
32,0.0,0.0,0.0,0.0,1.0,,,,
33,0.0,0.0,0.0,0.0,0.77,0.23,,,
34,0.0,0.0,0.0,0.0,0.556,0.0,0.0,0.444,
35,0.0,0.0,0.0,0.0,0.778,0.0,0.0,0.222,
36,0.0,0.0,0.0,0.0,0.44,0.0,0.56,,
37,0.0,0.0,0.0,0.0,0.862,0.0,0.0,0.138,
38,0.0,0.0,0.0,0.0,0.81,0.0,0.19,,
39,0.0,0.0,0.0,0.0,0.918,0.0,0.082,,
40,0.0,0.0,0.0,0.0,0.972,0.0,0.0,0.028,
41,0.0,0.0,0.0,0.0,0.926,0.0,0.074,,
42,0.0,0.0,0.0,0.0,0.326,0.0,0.674,,
43,0.0,0.0,0.0,0.0,0.712,0.0,0.288,,
44,0.0,0.0,0.0,0.0,0.486,0.0,0.514,,
45,0.0,0.0,0.0,0.0,0.908,0.0,0.092,,
46,0.0,0.0,0.0,0.0,0.852,0.0,0.148,,
47,0.0,0.0,0.0,0.0,0.694,0.0,0.306,,
48,0.0,0.0,0.0,0.0,0.984,0.0,0.016,,
49,0.0,0.0,0.0,0.0,0.964,0.0,0.036,,
50,0.0,0.0,0.0,0.0,0.994,0.0,0.0,0.006,
51,0.0,0.0,0.0,0.0,0.494,0.0,0.0,0.506,
52,0.0,0.0,0.0,0.0,0.812,0.0,0.188,,
53,0.0,0.0,0.0,0.0,0.968,0.0,0.032,,
54,0.0,0.0,0.0,0.0,0.932,0.0,0.068,,
55,0.0,0.0,0.0,0.0,0.992,0.0,0.0,0.008,
56,0.0,0.0,0.0,0.0,0.134,0.0,0.866,,
57,0.0,0.0,0.0,0.0,0.966,0.0,0.034,,
58,0.0,0.0,0.0,0.0,0.734,0.0,0.0,0.266,
59,0.0,0.0,0.0,0.0,0.976,0.0,0.024,,
60,0.0,0.0,0.0,0.0,0.858,0.0,0.0,0.142,
61,0.0,0.0,0.0,0.0,0.99,0.0,0.01,,
62,0.0,0.0,0.0,0.0,0.958,0.0,0.042,,
63,0.0,0.0,0.0,0.0,0.85,0.0,0.15,,
64,0.0,0.0,0.0,0.0,0.626,0.0,0.0,0.0,0.374
65,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.12
66,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.08
67,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1
68,0.0,0.0,0.0,0.0,0.976,0.0,0.0,0.0,0.024
69,0.0,0.0,0.0,0.0,0.872,0.0,0.0,0.0,0.128
70,0.0,0.0,0.0,0.0,0.508,0.0,0.0,0.0,0.492
71,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.004
72,0.0,0.0,0.0,0.0,0.944,0.0,0.0,0.0,0.056
73,0.0,0.0,0.0,0.0,0.904,0.0,0.0,0.0,0.096
74,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,0.512
75,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.32
76,0.0,0.0,0.0,0.0,0.702,0.0,0.0,0.0,0.298
77,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1
78,0.0,0.0,0.0,0.0,0.966,0.0,0.0,0.0,0.034
79,0.0,0.0,0.0,0.0,0.992,0.0,0.0,0.0,0.008
80,0.0,0.0,0.0,0.0,0.938,0.0,0.0,0.0,0.062
81,0.0,0.0,0.0,0.0,0.956,0.0,0.0,0.0,0.044
82,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.002
83,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.29
84,0.0,0.0,0.0,0.0,0.548,0.0,0.0,0.0,0.452
85,0.0,0.0,0.0,0.0,0.692,0.0,0.0,0.0,0.308
86,0.0,0.0,0.0,0.0,0.918,0.0,0.0,0.0,0.082
87,0.0,0.0,0.0,0.0,0.542,0.0,0.0,0.0,0.458
88,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.004
89,0.0,0.0,0.0,0.0,0.854,0.0,0.0,0.0,0.146
90,0.0,0.0,0.0,0.0,0.824,0.0,0.0,0.0,0.176
91,0.0,0.0,0.0,0.0,0.214,0.0,0.0,0.0,0.786
92,0.0,0.0,0.0,0.0,0.942,0.0,0.0,0.0,0.058
93,0.0,0.0,0.0,0.0,0.956,0.0,0.0,0.0,0.044
