,0,1,2,3,4,5,6,7,8
0,0.0,0.003,0.012,0.009,0.588,0.388,,,
1,0.001,0.002,0.008,0.01,0.979,,,,
2,0.007,0.007,0.468,0.518,,,,,
3,0.005,0.008,0.019,0.014,0.954,,,,
4,0.001,0.011,0.139,0.285,0.478,0.086,,,
5,0.004,0.003,0.011,0.012,0.97,,,,
6,0.014,0.012,0.74,0.234,,,,,
7,0.007,0.014,0.449,0.53,,,,,
8,0.001,0.012,0.006,0.477,0.492,0.012,,,
9,0.006,0.009,0.01,0.962,0.009,0.004,,,
10,0.002,0.006,0.985,0.002,0.005,,,,
11,0.009,0.003,0.483,0.238,0.267,,,,
12,0.001,0.015,0.017,0.01,0.957,,,,
13,0.002,0.003,0.251,0.461,0.282,0.001,,,
14,0.0,0.0,0.016,0.562,0.013,0.409,,,
15,0.0,0.007,0.011,0.97,0.01,0.002,,,
16,0.002,0.001,0.004,0.029,0.576,0.388,,,
17,0.002,0.321,0.665,0.01,0.0,0.002,,,
18,0.0,0.002,0.012,0.986,,,,,
19,0.008,0.003,0.019,0.97,0.0,,,,
20,0.003,0.99,0.001,0.003,0.003,,,,
21,0.0,0.008,0.02,0.503,0.469,,,,
22,0.006,0.007,0.259,0.723,0.002,0.003,,,
23,0.011,0.004,0.495,0.25,0.239,0.001,,,
24,0.001,0.004,0.984,0.006,0.005,,,,
25,0.001,0.009,0.019,0.005,0.963,0.003,,,
26,0.0,0.007,0.006,0.2,0.786,0.001,,,
27,0.003,0.002,0.977,0.015,0.003,0.0,,,
28,0.0,0.003,0.991,0.004,0.002,,,,
29,0.01,0.004,0.014,0.423,0.549,,,,
30,0.0,0.003,0.981,0.006,0.01,,,,
31,0.003,0.008,0.003,0.318,0.344,0.324,,,
32,0.005,0.006,0.011,0.852,0.126,,,,
33,0.0,0.011,0.027,0.011,0.485,0.466,,,
34,0.002,0.485,0.004,0.005,0.017,0.007,0.48,0.0,
35,0.012,0.0,0.003,0.012,0.461,0.006,0.009,0.497,
36,0.004,0.004,0.008,0.017,0.021,0.481,0.465,,
37,0.0,0.002,0.111,0.623,0.141,0.12,0.002,0.001,
38,0.0,0.005,0.007,0.017,0.023,0.946,0.002,,
39,0.007,0.01,0.008,0.415,0.554,0.0,0.006,,
40,0.0,0.015,0.218,0.147,0.493,0.004,0.0,0.123,
41,0.011,0.026,0.006,0.016,0.007,0.929,0.005,,
42,0.002,0.003,0.006,0.017,0.007,0.006,0.959,,
43,0.001,0.012,0.009,0.016,0.015,0.022,0.925,,
44,0.0,0.0,0.008,0.005,0.007,0.425,0.555,,
45,0.0,0.01,0.018,0.163,0.008,0.165,0.636,,
46,0.013,0.0,0.005,0.011,0.009,0.23,0.732,,
47,0.004,0.003,0.011,0.008,0.015,0.366,0.593,,
48,0.005,0.003,0.002,0.015,0.955,0.015,0.005,,
49,0.0,0.005,0.01,0.007,0.571,0.245,0.162,,
50,0.006,0.002,0.02,0.007,0.512,0.016,0.436,0.001,
51,0.006,0.002,0.014,0.969,0.002,0.003,0.003,0.001,
52,0.002,0.013,0.012,0.015,0.236,0.72,0.002,,
53,0.008,0.261,0.001,0.02,0.001,0.709,0.0,,
54,0.003,0.009,0.001,0.025,0.013,0.946,0.003,,
55,0.001,0.0,0.008,0.002,0.023,0.019,0.943,0.004,
56,0.0,0.003,0.006,0.013,0.022,0.733,0.223,,
57,0.0,0.003,0.002,0.021,0.011,0.957,0.006,,
58,0.005,0.002,0.108,0.223,0.244,0.074,0.073,0.271,
59,0.0,0.008,0.003,0.015,0.017,0.472,0.485,,
60,0.01,0.0,0.004,0.007,0.009,0.703,0.265,0.002,
61,0.001,0.005,0.018,0.013,0.014,0.483,0.466,,
62,0.003,0.005,0.005,0.018,0.963,0.006,0.0,,
63,0.0,0.0,0.007,0.013,0.015,0.65,0.315,,
64,0.0,0.012,0.0,0.016,0.005,0.118,0.101,0.434,0.314
65,0.002,0.001,0.012,0.008,0.276,0.013,0.448,0.234,0.006
66,0.002,0.014,0.01,0.001,0.003,0.027,0.017,0.926,0.0
67,0.002,0.006,0.013,0.468,0.218,0.179,0.112,0.001,0.001
68,0.0,0.007,0.005,0.019,0.348,0.006,0.003,0.612,0.0
69,0.0,0.0,0.105,0.01,0.016,0.012,0.251,0.005,0.601
70,0.0,0.004,0.018,0.018,0.006,0.016,0.016,0.02,0.902
71,0.0,0.001,0.009,0.488,0.251,0.008,0.243,0.0,0.0
72,0.007,0.014,0.001,0.004,0.949,0.005,0.009,0.008,0.003
73,0.008,0.974,0.014,0.0,0.0,0.0,0.002,0.0,0.002
74,0.017,0.008,0.012,0.002,0.0,0.01,0.01,0.027,0.914
75,0.018,0.004,0.011,0.009,0.364,0.007,0.013,0.288,0.286
76,0.015,0.01,0.004,0.008,0.014,0.012,0.015,0.236,0.686
77,0.012,0.013,0.013,0.009,0.926,0.024,0.003,0.0,0.0
78,0.007,0.007,0.005,0.199,0.007,0.615,0.159,0.001,0.0
79,0.0,0.24,0.477,0.143,0.002,0.003,0.003,0.131,0.001
80,0.002,0.001,0.008,0.005,0.477,0.256,0.251,0.0,0.0
81,0.012,0.0,0.003,0.007,0.507,0.463,0.0,0.007,0.001
82,0.0,0.004,0.004,0.492,0.484,0.0,0.003,0.013,0.0
83,0.0,0.006,0.977,0.0,0.003,0.0,0.009,0.0,0.005
84,0.001,0.971,0.008,0.0,0.0,0.0,0.006,0.0,0.014
85,0.002,0.001,0.011,0.011,0.941,0.005,0.011,0.014,0.004
86,0.0,0.004,0.504,0.005,0.005,0.12,0.191,0.003,0.168
87,0.003,0.008,0.032,0.0,0.018,0.006,0.012,0.915,0.006
88,0.005,0.005,0.009,0.017,0.012,0.011,0.39,0.551,0.0
89,0.008,0.009,0.0,0.007,0.001,0.012,0.956,0.002,0.005
90,0.0,0.0,0.013,0.009,0.01,0.318,0.007,0.347,0.296
91,0.0,0.003,0.002,0.003,0.029,0.009,0.946,0.006,0.002
92,0.0,0.005,0.007,0.018,0.732,0.007,0.008,0.223,0.0
93,0.0,0.014,0.005,0.013,0.197,0.009,0.127,0.463,0.172
